transaction_id,sequence_order,item,utility
1,1,login,5
1,2,watch_video,25
1,3,take_quiz,40
2,1,login,5
2,2,download_notes,10
2,3,watch_video,25
3,1,login,5
3,2,join_live_class,35
3,3,post_forum,12
4,1,login,5
4,2,watch_video,25
4,3,submit_assignment,50
5,1,login,5
5,2,practice_exercise,20
5,3,take_quiz,40
6,1,login,5
6,2,watch_video,25
6,3,post_forum,12
7,1,login,5
7,2,download_notes,10
7,3,practice_exercise,20
8,1,login,5
8,2,watch_video,25
8,3,take_quiz,40
8,4,submit_assignment,50
9,1,login,5
9,2,join_live_class,35
9,3,submit_assignment,50
10,1,login,5
10,2,watch_video,25
10,3,revisit_lesson,18
11,1,login,5
11,2,practice_exercise,20
11,3,receive_feedback,15
12,1,login,5
12,2,watch_video,25
12,3,download_notes,10
12,4,take_quiz,40
13,1,login,5
13,2,join_live_class,35
13,3,ask_question,22
14,1,login,5
14,2,watch_video,25
14,3,practice_exercise,20
14,4,submit_assignment,50
15,1,login,5
15,2,watch_video,25
15,3,take_quiz,40
15,4,receive_badge,30
